start_step,end_step,n,loss_mean,score_gap_mean,gap_positive_rate,score_chosen_mean,score_rejected_mean,chosen_len_mean,rejected_len_mean
0,63,64,0.74969482421875,-0.0389862060546875,0.484375,-0.05499839782714844,-0.016174793243408203,430.125,437.3125
64,127,64,0.6979827880859375,0.0620269775390625,0.46875,-2.5883102416992188,-2.65032958984375,432.03125,404.625
128,191,64,0.6907958984375,0.0306549072265625,0.515625,-1.9536705017089844,-1.9843597412109375,419.3125,442.96875
192,255,64,0.6993408203125,0.0161590576171875,0.46875,1.0145483016967773,0.9983787536621094,436.515625,432.3125
256,319,64,0.6634674072265625,0.1444416046142578,0.578125,0.9522304534912109,0.8076858520507812,421.84375,423.953125
320,383,64,0.6475601196289062,0.15302658081054688,0.609375,-1.38775634765625,-1.5407066345214844,448.4375,439.75
384,447,64,0.700286865234375,0.07598876953125,0.640625,3.539794921875,3.46380615234375,397.046875,410.453125
448,511,64,0.624908447265625,0.21234130859375,0.609375,2.0782470703125,1.8658771514892578,479.9375,479.1875
512,575,64,0.6578369140625,0.3691253662109375,0.65625,0.2863883972167969,-0.08265924453735352,437.71875,420.671875
576,639,64,0.6654891967773438,0.184539794921875,0.5,-1.0641298294067383,-1.2485895156860352,443.71875,428.078125
640,703,64,0.6944122314453125,0.05859375,0.578125,-1.4022674560546875,-1.4609489440917969,442.609375,422.203125
704,767,64,0.689971923828125,0.0362701416015625,0.5,-0.7725090980529785,-0.8087997436523438,458.953125,459.40625
768,831,64,0.6183013916015625,0.34075927734375,0.65625,-0.3015937805175781,-0.6422100067138672,402.34375,402.140625
832,895,64,0.6713371276855469,0.25861167907714844,0.65625,-0.1345043182373047,-0.3932380676269531,487.34375,475.515625
896,959,64,0.663787841796875,0.1331787109375,0.609375,-1.4488525390625,-1.5819892883300781,407.671875,417.96875
960,1023,64,0.6733551025390625,0.1613311767578125,0.625,-1.3204407691955566,-1.4817218780517578,469.03125,456.828125
