start_step,end_step,n,loss_mean,score_gap_mean,gap_positive_rate,score_chosen_mean,score_rejected_mean,chosen_len_mean,rejected_len_mean
0,63,64,0.74969482421875,-0.0389862060546875,0.484375,-0.05499839782714844,-0.016174793243408203,430.125,437.3125
64,127,64,0.6979827880859375,0.0620269775390625,0.46875,-2.5883102416992188,-2.65032958984375,432.03125,404.625
128,191,64,0.6907958984375,0.0306549072265625,0.515625,-1.9536705017089844,-1.9843597412109375,419.3125,442.96875
192,255,64,0.6993408203125,0.0161590576171875,0.46875,1.0145483016967773,0.9983787536621094,436.515625,432.3125
256,319,64,0.6634674072265625,0.1444416046142578,0.578125,0.9522304534912109,0.8076858520507812,421.84375,423.953125
320,383,64,0.6475601196289062,0.15302658081054688,0.609375,-1.38775634765625,-1.5407066345214844,448.4375,439.75
384,447,64,0.700286865234375,0.07598876953125,0.640625,3.539794921875,3.46380615234375,397.046875,410.453125
448,511,64,0.624908447265625,0.21234130859375,0.609375,2.0782470703125,1.8658771514892578,479.9375,479.1875
512,575,64,0.6578369140625,0.3691253662109375,0.65625,0.2863883972167969,-0.08265924453735352,437.71875,420.671875
576,595,20,0.6696533203125,0.201806640625,0.55,-0.486376953125,-0.6880859375,417.3,435.15
