query_source,n,v0_acc_percent,lora_acc_percent,delta_pp,overall_contribution_pp
POVID_preference_data_for_VLLMs,448,37.94642857142857,85.26785714285714,47.32142857142857,17.000801924619086
(empty),317,47.003154574132495,59.305993690851736,12.30283911671924,3.127506014434642
wildvision-battle,171,57.30994152046783,67.83625730994152,10.526315789473683,1.4434643143544506
COCO,63,58.730158730158735,82.53968253968253,23.809523809523803,1.2028869286287085
OK-VQA,32,59.375,93.75,34.375,0.8821170809943866
LCS-558K,41,53.65853658536586,78.04878048780488,24.390243902439025,0.8019246190858059
GQA,26,42.30769230769231,80.76923076923077,38.46153846153847,0.8019246190858059
coco,40,50.0,67.5,17.500000000000004,0.5613472333600643
VQAv2,35,60.0,77.14285714285715,17.14285714285715,0.4811547714514837
sharegpt4v-web-celebrity,7,57.14285714285714,100.0,42.85714285714286,0.24057738572574178
OCR-VQA,4,50.0,100.0,50.0,0.16038492381716118
TextVQA,14,64.28571428571429,78.57142857142857,14.28571428571428,0.16038492381716113
jailbreak-typo-Illegal_Activitiy,2,50.0,100.0,50.0,0.08019246190858059
jailbreak-typo-Malware_Generation,1,0.0,100.0,100.0,0.08019246190858059
sharegpt4v-wikiart,1,0.0,100.0,100.0,0.08019246190858059
sharegpt4v-textvqa,3,66.66666666666666,66.66666666666666,0.0,0.0
MovieNet,2,100.0,100.0,0.0,0.0
LRVInstruction,1,100.0,100.0,0.0,0.0
jailbreak-Fraud,1,100.0,100.0,0.0,0.0
jailbreak-typo-EconomicHarm,1,100.0,100.0,0.0,0.0
jailbreak-typo-HateSpeech,1,100.0,100.0,0.0,0.0
jailbreak-typo-Physical_Harm,1,100.0,100.0,0.0,0.0
politics-Gov_Decision,1,100.0,100.0,0.0,0.0
svit-complex_reasoning,1,100.0,100.0,0.0,0.0
sharegpt4v-web-landmark,5,100.0,80.0,-19.999999999999996,-0.08019246190858056
Google-Landmark,4,75.0,50.0,-25.0,-0.08019246190858059
vqav2,24,58.333333333333336,54.166666666666664,-4.166666666666674,-0.08019246190858073
