setting,n,parsed,parse_rate,accuracy,accuracy_percent,max_tiles,model_path,short_output,score_head,lora_adapter,summary_path
lora_v1_1k_vlrb_full,1247,,,0.7465918203688853,74.65918203688852,2,,,outputs/checkpoints/lora_v1_1k/score_head_final.pt,outputs/checkpoints/lora_v1_1k/lora_final,outputs/eval/lora_v1_1k_vlrb_full_summary.json
D_PromptCap50NoBench_4k_Linear_vlrb_full,1247,,,0.7169206094627105,71.69206094627106,2,,,outputs/checkpoints/D_PromptCap50NoBench_4k_Linear/score_head_final.pt,outputs/checkpoints/D_PromptCap50NoBench_4k_Linear/lora_final,outputs/eval/D_PromptCap50NoBench_4k_Linear_vlrb_full_summary.json
D_PromptCap10NoBench_4k_Linear_vlrb_full,1247,,,0.7072975140336808,70.72975140336808,2,,,outputs/checkpoints/D_PromptCap10NoBench_4k_Linear/score_head_final.pt,outputs/checkpoints/D_PromptCap10NoBench_4k_Linear/lora_final,outputs/eval/D_PromptCap10NoBench_4k_Linear_vlrb_full_summary.json
lora_v3_dedup_4k_vlrb_full,1247,,,0.7016840417000801,70.16840417000802,2,,,outputs/checkpoints/lora_v3_dedup_4k/score_head_final.pt,outputs/checkpoints/lora_v3_dedup_4k/lora_final,outputs/eval/lora_v3_dedup_4k_vlrb_full_summary.json
D_PromptCap20_4k_vlrb_full,1247,,,0.6840417000801925,68.40417000801925,2,,,outputs/checkpoints/D_PromptCap20_4k/score_head_final.pt,outputs/checkpoints/D_PromptCap20_4k/lora_final,outputs/eval/D_PromptCap20_4k_vlrb_full_summary.json
lora_v4_refined_dedup_4k_vlrb_full,1247,,,0.6672012830793905,66.72012830793905,2,,,outputs/checkpoints/lora_v4_refined_dedup_4k/score_head_final.pt,outputs/checkpoints/lora_v4_refined_dedup_4k/lora_final,outputs/eval/lora_v4_refined_dedup_4k_vlrb_full_summary.json
D_PromptCap50NoBench_4k_Linear_seed123_vlrb_full,1247,,,0.6126704089815558,61.26704089815558,2,,,outputs/checkpoints/D_PromptCap50NoBench_4k_Linear_seed123/score_head_final.pt,outputs/checkpoints/D_PromptCap50NoBench_4k_Linear_seed123/lora_final,outputs/eval/D_PromptCap50NoBench_4k_Linear_seed123_vlrb_full_summary.json
D_PromptCap20_1k_Final_vlrb_full,1247,,,0.6102646351242983,61.02646351242983,2,,,outputs/checkpoints/D_PromptCap20_1k_Final/score_head_final.pt,outputs/checkpoints/D_PromptCap20_1k_Final/lora_final,outputs/eval/D_PromptCap20_1k_Final_vlrb_full_summary.json
D_PromptCap20NoBench_4k_Linear_vlrb_full,1247,,,0.6062550120288693,60.62550120288693,2,,,outputs/checkpoints/D_PromptCap20NoBench_4k_Linear/score_head_final.pt,outputs/checkpoints/D_PromptCap20NoBench_4k_Linear/lora_final,outputs/eval/D_PromptCap20NoBench_4k_Linear_vlrb_full_summary.json
P_FinalMeanConcat_PromptCap20_1k_vlrb_full,1247,,,0.6014434643143545,60.144346431435444,2,,,outputs/checkpoints/P_FinalMeanConcat_PromptCap20_1k/score_head_final.pt,outputs/checkpoints/P_FinalMeanConcat_PromptCap20_1k/lora_final,outputs/eval/P_FinalMeanConcat_PromptCap20_1k_vlrb_full_summary.json
lora_v2_dedup_1k_vlrb_full,1247,,,0.5284683239775461,52.8468323977546,2,,,outputs/checkpoints/lora_v2_dedup_1k/score_head_final.pt,outputs/checkpoints/lora_v2_dedup_1k/lora_final,outputs/eval/lora_v2_dedup_1k_vlrb_full_summary.json
A_MLPHead_PromptCap20NoBench_4k_vlrb_full,1247,,,0.504410585404972,50.441058540497195,2,,,outputs/checkpoints/A_MLPHead_PromptCap20NoBench_4k/score_head_final.pt,outputs/checkpoints/A_MLPHead_PromptCap20NoBench_4k/lora_final,outputs/eval/A_MLPHead_PromptCap20NoBench_4k_vlrb_full_summary.json
reward_head_v0_128_vlrb_full,1247,,,0.47794707297514033,47.79470729751403,2,,,outputs/checkpoints/reward_head_v0_128/score_head_final.pt,,outputs/eval/reward_head_v0_128_vlrb_full_summary.json
base_internvl2_5_2b_vlrb_full_short,1247,1040,0.8340016038492382,0.46511627906976744,46.51162790697674,2,/root/private_data/models/reward-model-exam/OpenGVLab/InternVL2_5-2B,True,,,outputs/eval/base_internvl2_5_2b_vlrb_full_short_summary.json
lora_v1_1k_vlrb100,100,,,0.81,81.0,2,,,outputs/checkpoints/lora_v1_1k/score_head_final.pt,outputs/checkpoints/lora_v1_1k/lora_final,outputs/eval/lora_v1_1k_vlrb100_summary.json
reward_head_v0_128_vlrb50,50,,,0.64,64.0,2,,,outputs/checkpoints/reward_head_v0_128/score_head_final.pt,,outputs/eval/reward_head_v0_128_vlrb50_summary.json
reward_head_overfit8_vlrb10,10,,,0.6,60.0,2,,,outputs/checkpoints/reward_head_overfit_8/score_head_final.pt,,outputs/eval/reward_head_overfit8_vlrb10_summary.json
lora_sanity_4_vlrb5,5,,,0.6,60.0,1,,,outputs/checkpoints/lora_sanity_4/score_head_final.pt,outputs/checkpoints/lora_sanity_4/lora_final,outputs/eval/lora_sanity_4_vlrb5_summary.json
